Name,Latitude,Longitude,State,Est_Year,Est_Day,Sq-mi,Sq_km,Maxelev_ft,Minelev_ft??,NPS_URL
Acadia,44.35,-68.216667,Maine,1919,26-Feb,47,123,1528,0,http://www.nps.gov/acad/index.htm
American Samoa,-14.258333,-170.683333,American Samoa,1988,31-Oct,14,36,3000,-1,http://www.nps.gov/npsa/index.htm
Arches,38.683333,-109.566667,Utah,1971,12-Nov,119,309,5653,3960,http://www.nps.gov/arch/index.htm
Badlands,43.75,-102.5,South Dakota,1978,10-Nov,379,982,3340,2365,http://www.nps.gov/badl/index.htm
Big Bend,29.25,-103.25,Texas,1944,12-Jun,1252,3242,7825,1715,http://www.nps.gov/bibe/index.htm
Biscayne,25.65,-80.083333,Florida,1980,28-Jun,207,700,9,-1,http://www.nps.gov/bisc/index.htm
Black Canyon of the Gunnison,38.566667,-107.716667,Colorado,1999,21-Oct,51,133,9040,5440,http://www.nps.gov/blca/index.htm
Bryce Canyon,37.566667,-112.183333,Utah,1924,7-Jun,56,145,9115,6565,http://www.nps.gov/brca/index.htm
Canyonlands,38.2,-109.933333,Utah,1964,12-Sep,527,1366,7120,3730,http://www.nps.gov/cany/index.htm
Capitol Reef,38.2,-111.166667,Utah,1971,18-Dec,378,979,8960,3877,http://www.nps.gov/care/index.htm
Carlsbad Caverns,32.175278,-104.443889,New Mexico,1930,14-May,73,189,6535,3596,http://www.nps.gov/cave/index.htm
Channel Islands,34.008333,-119.416667,California,1980,5-Mar,390,1010,1812,-1,http://www.nps.gov/chis/index.htm
Congaree,33.783333,-80.783333,South Carolina,2003,10-Nov,33,88,140,80,http://www.nps.gov/cong/index.htm
Crater Lake,42.941517,-122.15114,Oregon,1902,22-May,286,741,8929,3990,http://www.nps.gov/crla/index.htm
Cuyahoga Valley,41.241667,-81.549722,Ohio,2000,11-Oct,51,134,1164,590,http://www.nps.gov/cuva/index.htm
Death Valley,36.241944,-116.825833,"California, Nevada",1994,31-Oct,5219,13518,11049,-282,http://www.nps.gov/deva/index.htm
Denali,63.333333,-150.5,Alaska,1917,26-Feb,9492,24585,20320,240,http://www.nps.gov/dena/index.htm
Dry Tortugas,24.628611,-82.873333,Florida,1992,26-Oct,101,262,10,-1,http://www.nps.gov/drto/index.htm
Everglades,25.316667,-80.933333,Florida,1947,6-Dec,2357,6105,20,0,http://www.nps.gov/ever/index.htm
Gates of the Arctic,67.783333,-153.3,Alaska,1980,2-Dec,13238,39460,8276,280,http://www.nps.gov/gaar/index.htm
Glacier,48.8,-114,Montana,1910,11-May,1584,4101,10466,3150,http://www.nps.gov/glac/index.htm
Glacier Bay,58.5,-137,Alaska,1980,2-Dec,5130,13287,15300,0,http://www.nps.gov/glba/index.htm
Grand Canyon,36.0575,-112.1375,Arizona,1919,26-Feb,1902,4927,9165,1173,http://www.nps.gov/grca/index.htm
Grand Teton,43.733333,-110.803333,Wyoming,1929,26-Feb,484,1255,13770,6310,http://www.nps.gov/grte/index.htm
Great Basin,38.983333,-114.3,Nevada,1986,27-Oct,120,312,13065,6195,http://www.nps.gov/grba/index.htm
